This table- ,TestSchema,., RISK, contains column named - , ACCEPTANCE, of datatype - , DECFLOAT,. This is ,not , a primary key for this table.,,This column can be used to join with ,TestSchema,., ENUMVALS, on , ENUMVALID,This column describes-,Use to indicate whether the residual risk is acceptable and if not what treatment is appropriate., [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , ACTNDSCRPTN, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Action Plan Description, [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , ACTNPLNCHNGHSTRY, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Action Plan Change History, [NULL],,,,
This table- ,TestSchema,., ENTITY, contains column named - , ADDO0, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL] ,This column describes-,Address, [NULL],,,,
This table- ,TestSchema,., CONTROL, contains column named - , ADDDCMNT, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, [NULL], [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , ADDDCMNT, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Add or Delete Document, [NULL],,,,
This table- ,TestSchema,., ISSUE, contains column named - , ADDDCMNT, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Add or Delete Dcoument, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , ADDDCMNT, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, [NULL], [NULL],,,,
This table- ,TestSchema,., RISK, contains column named - , ADDDCMNT, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, [NULL], [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , ADDDCMNTO0, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL] ,This column describes-,Add Document, [NULL],,,,
This table- ,TestSchema,., CONTROL, contains column named - , ADDDCMT, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Add Document, [NULL],,,,
This table- ,TestSchema,., ENTITY, contains column named - , ADDDCMT, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL] ,This column describes-,Add document, [NULL],,,,
This table- ,TestSchema,., CONTROL, contains column named - , ADDITIONAL_DESCRIPTION, of datatype - , DECFLOAT,. This is ,not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Use to enter or edit additional information about this control., [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , ADDITIONAL_DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL] ,This column describes-,Additional Description may be used to provide HTML formatted information about the process/cycle., [NULL],,,,
This table- ,TestSchema,., RISK, contains column named - , ADDITIONAL_DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Use to enter or edit additional information about this risk more alligned with the audit methodology. (e.g.\\, Risk source\\, event and result) ., [NULL],,
This table- ,TestSchema,., PROCESS, contains column named - , ADDLGLENTTY, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Legal Entity, [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , ADDTNLTSTNGRQFRCV, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , TestSchema,., ENUMVALS, on , ENUMVALID,This column describes-, Additional Testing Required for CV, [NULL],,,,
This table- ,TestSchema,., CONTROL, contains column named - , ADDUPDATE_TAT_APPLICAT, of datatype - , VARCHAR,. This is , not, a primary key for this table.,,This column can be used to join with , (NULL],., [NULL], on , [NULL],This column describes-, Add/Update TAI Applications, [NULL],,,,
This table- ,TestSchema,., ISSUE, contains column named - , ADDUPDATE_TAI_APPLICAT, of datatype - , VARCHAR,. This is , not, a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Add/Update TAI Applications, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , ADDUPDATE_TAI_APPLICAT, of datatype - , VARCHAR,. This is , not, a primary key for this table.,,This column can be used to join with , (NULL],., [NULL], on , [NULL],This column describes-, Add/Update TAT Applications, [NULL],,,,
This table- ,TestSchema,., ISSUE, contains column named - , ADDUPDJIRA, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Add Update Jira to Risk Issue, [NULL],,,,
This table- ,TestSchema,., ISSUE, contains column named - , ADDUPDTDATACNCPT, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Associate Root Cause Data Concept - Data Issue, [NULL],,,,
This table- ,TestSchema,., ISSUE, contains column named - , ADDUPDTIMPACTDATACNCPT, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, [NULL], [NULL],,,,
This table- ,TestSchema,., EMPLOYEE, contains column named - , ADD_DESC, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, [NULL], [NULL],,,,
This table- ,TestSchema,., ISSUE, contains column named - , ADJSTFRQNCY, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , TestSchema,., ENUMVALS, on , ENUMVALID,This column describes-, [NULL], [NULL],,,,
This table- ,TestSchema,., ISSUE, contains column named - , ADTRPRTISSID, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Audit Report Issue ID, [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , ADTRPTACTNID, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL] ,This column describes-,Audit Report Action ID, [NULL],,,,
This table- ,TestSchema,., ISSUE, contains column named - , AFFLHLPR, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Affiliate Helper, [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , AI_BREADCRUMB, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL] ,This column describes-, Act. Item Breadcrumb, [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , CVEXTNRSN, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with ,TestSchema,., ENUMVALS, on , ENUMVALID,This column describes-, Reason for CV extension, [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , CVEXTNRTNL, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Rationale for Extension Acknowledgement, [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , CVOWNER, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,The person responsible for Verifying if the Action Plan was properly executed., [NULL],,,,
This table- ,TestSchema,., ISSUE, contains column named - , CVOWNER, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,The person responsible for verifying the Issue has been resolved., [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , CVREQ, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with ,TestSchema,., ENUMVALS, on , ENUMVALID,This column describes-, The indication if the Action Plan requires additional testing to verify the plan was properly executed., [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , CVRVWR, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,The person responsible for reviewing if the Action Plan closure verification process was properly executed., [NULL],,,,
This table- ,TestSchema,., ENTITY, contains column named - , CWPVIEWCONFD, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, [NULL], [NULL],,,,
This table- ,TestSchema,., ENTITY, contains column named - , CXNMBR, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Complex Number, [NULL],,,,
This table- ,TestSchema,., ISSUE, contains column named - , DATAISSID, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Data Issue ID, [NULL],,,,
This table- ,TestSchema,., CONTROLINSTANCE, contains column named - , DATAOWNRMAILGRP, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Mail Group for the Control Owner, [NULL],,,,
This table- ,TestSchema,., ENUMVALS, contains column named - , DB2_32K_NAME, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Truncated for DB2 32K Issue Enumerated Value Name, [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , DCMNT, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Documents Reporting Fragment, [NULL],,,,
This table- ,TestSchema,., ISSUE, contains column named - , DCMNTS, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Documents Reporting Fragment, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , DEPT_OWNER, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , TestSchema,., ENUMVALS, on , ENUMVALID,This column describes-, [NULL] , [NULL],,,,
This table- ,TestSchema,., ENUMVALS, contains column named - , DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Description of an enumerated answer., [NULL],,,,
This table- ,TestSchema,., CONTROL, contains column named - , DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Resource Description, [NULL],,,,
This table- ,TestSchema,., EMPLOYEE, contains column named - , DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Resource Description, [NULL],,,,
This table- ,TestSchema,., ENTITY, contains column named - , DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Resource Description, [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Resource Description, [NULL],,,,
This table- ,TestSchema,., ASSOCTYPE, contains column named - , DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Resource Description, [NULL],,,,
This table- ,TestSchema,., COMMENT, contains column named - , DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Resource Description, [NULL],,,,
This table- ,TestSchema,., CONTROLINSTANCE, contains column named - , DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Resource Description, [NULL],,,,
This table- ,TestSchema,., INCIDENT, contains column named - , DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Resource Description, [NULL],,,,
This table- ,TestSchema,., ISSUE, contains column named - , DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Resource Description, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Resource Description, [NULL],,,,
This table- ,TestSchema,., RISK, contains column named - , DESCRIPTION, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Resource Description, [NULL],,,,
This table- ,TestSchema,., CONTROL, contains column named - , DESIGNEFF, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with ,TestSchema,., ENUMVALS, on , ENUMVALID,This column describes-, Design Effectiveness, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , DESIGN_ADEQUACY, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , TestSchema,., ENUMVALS, on , ENUMVALID,This column describes-, Design Adequacy, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , DESIGN_ADEQUACY_DETAIL, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, [NULL], [NULL],,,,
This table- ,TestSchema,., CONTROL, contains column named - , DESIGN DETAILS, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Design Adequacy Details, [NULL],,,,
This table- ,TestSchema,., CONTROL, contains column named - , DESIGN_EFFECTIVENESS, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with ,TestSchema,., ENUMVALS, on , ENUMVALID,This column describes-, Use to attest to the effectiveness of the design of the control; usually evidenced by a careful review of the risk and control., [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , DESIGN_REVIEW_DATE, of datatype - , TIMESTAMP,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, [NULL], [NULL],,,,
This table- ,TestSchema,., CONTROL, contains column named - , DETAIL_PAGE_URL, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Detail Page URL, [NULL],,,,
This table- ,TestSchema,., EMPLOYEE, contains column named - , DETAIL _PAGE_URL, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Detail Page URL, [NULL],,,,
This table- ,TestSchema,., ENTITY, contains column named - , DETAIL_PAGE_URL, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-, Detail Page URL, [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN, contains column named - , DETAIL _PAGE_URL, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Detail Page URL, [NULL],,,,
This table- ,TestSchema,., ASSOCTYPE, contains column named - , DETAIL_PAGE_URL, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Detail Page URL, [NULL],,,,
This table- ,TestSchema,., COMMENT, contains column named - , DETAIL_PAGE_URL, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Detail Page URL, [NULL],,,,
This table- ,TestSchema,., CONTROLINSTANCE, contains column named - , DETAIL _PAGE_URL, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Detail Page URL, [NULL],,,,
This table- ,TestSchema,., INCIDENT, contains column named - , DETAIL_PAGE. URL, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Detail Page URL, [NULL],,,,
This table- ,TestSchema,., ISSUE, contains column named - , DETAIL_PAGE_URL, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Detail Page URL, [NULL],,,,
This table- ,TestSchema,., PROCESS, contains column named - , DETAIL PAGE_URL, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Detail Page URL, [NULL],,,,
This table- ,TestSchema,., RISK, contains column named - , DETAIL_PAGE_URL, of datatype - , VARCHAR,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Detail Page URL, [NULL],,,,
This table- ,TestSchema,., ENUMVALS, contains column named - , DISPLAY_ORDER, of datatype - , DECIMAL,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Display Order within Enumerated Type, [NULL],,,,
This table- ,TestSchema,., AUDITABLEENTITY_ASSOCTY, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., AUDITPROGRAM ASSOCTYPE, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., CONTROLASMNT_ASSOCTY, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., CONTROLOUTCOME ASSOC, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., CONTROLRECORD_ASSOCT, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., CONTROLTRIGGER_ASSOC, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., CONTROL _ASSOCTYPE, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ENTITY_ASSOCTYPE, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., IMPACTANALYSIS_ASSOC, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ACTIONPLAN_ASSOCTYPE, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., DATAISSUE_ASSOCTYPE, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., FINDING _ASSOCTYPE, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., INCIDENT_ASSOCTYPE, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_FILE, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_IMPACTANALYSIS_MS, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_LINK, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_ACTIONPLAN, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_ASSOCTYPE, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_COMMENT, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_DATACONCEPT, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_DGCPDI, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_DGCPOLICYGAPS, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_INCIDENT, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_LINKEDENTITY, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_SAD, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_TAI, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., ISSUE_SUPPLIER_MS, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in,[NULL],,,,
This table- ,TestSchema,., REGASSESSMENT_ASSOCT, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., REGFINDING_ASSOCTYPE, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
This table- ,TestSchema,., REGMEETING_ASSOCTYPE, contains column named - , DISTANCE, of datatype - , DECFLOAT,. This is , not , a primary key for this table.,,This column can be used to join with , [NULL],., [NULL], on , [NULL],This column describes-,Distance between objects in the hierarchy, [NULL],,,,
